taxa	IERGroupPValue	IERTimePValue	IERTumorPValue	IERpValuesLog10VolumeWithDirection	IERcorCoeffVolumeBUG	SleeveGroupPValue	SleeveTimePValue	SleeveTumorPValue	SleevePValuesLog10VolumeWithDirection	SleeveCorCoeffVolumeBUG
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	0.456392077	0.001088538	0.823942172	-0.084103268	0.022016136	0.354949243	0.047163441	0.515245036	0.287986183	-0.112408588
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	0.365894116	0.002114284	0.711148308	-0.148039819	0.038422231	0.632852138	0.235805986	0.132817951	-0.876743223	0.216428667
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	0.0445133	0.478487848	0.357769096	-0.446397176	0.117129441	0.001669719	0.748971909	0.23322606	-0.632222925	0.139765518
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	0.283576255	0.062648564	0.199801503	-0.699401248	0.118308508	0.733321759	0.00871324	0.751324205	-0.124172619	0.051796071
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.	0.051359533	0.009844783	0.366478764	-0.435951185	0.122722868	0.177460207	0.000448029	0.176290199	-0.753771831	0.165641695
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	0.014195633	0.094471322	0.240234686	-0.619364287	0.151460866	0.17569434	0	0.841089679	0.075157696	-0.006561304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	0.000404318	0.683135332	0.071340122	-1.146666154	0.181008308	0.418173562	0.000230192	0.350630425	-0.455150402	0.134188891
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	7.01E-05	0.13654953	0.053036103	-1.275428399	0.182337892	0.528560928	2.43E-13	0.794763613	-0.099762025	0.018531935
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	4.86E-06	0.170672616	0.021662364	-1.664294151	0.188475405	0.034636003	9.76E-05	0.116366726	-0.934171183	0.175165553
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	0.825067275	0.021092338	0.038348453	-1.416252152	0.19337436	0.114536076	5.77E-15	0.175826871	-0.754914753	0.089315537
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	0.348153801	0.01856041	0.031312598	-1.504280902	0.200896919	0.011322939	0.00033408	0.74502087	-0.127831561	0.036093399
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other	0.059789226	0.02480796	0.027066779	-1.56756343	0.209193141	0.010936051	0.000505027	0.943011888	0.025482832	-0.002227288
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	0.004339866	0.00036378	0.023338551	-1.63192612	0.215498195	0.938487028	8.55E-09	0.374139006	0.426967012	-0.095720836
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	0.000105104	0.025587968	0.011973593	-1.921775513	0.234227948	0.771152368	9.89E-10	0.397840839	0.400290637	-0.0793555
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	0.012258032	0.116352274	0.003202618	-2.494494905	0.264259214	0.044301016	0.0101815	0.00216066	-2.665413558	0.419595151
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.0001704	0.029512591	0.00026797	-3.57191431	0.316894286	0.916657495	0.039108445	0.203906712	-0.690568478	0.169120779
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	0.051091818	0.000247234	0.000625502	-3.203771598	0.322621013	0.21382663	0.048647433	0.095725523	-1.018972253	0.233150101
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	4.46E-05	0.000104042	3.55E-05	-4.45027659	0.332532606	0.635716503	2.30E-05	0.065132766	-1.186200476	0.211072599
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	0.000122836	0.953730906	0.000153733	-3.813233881	0.333493801	0.044737809	0.067819306	0.383888634	-0.415794746	0.112866005
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	2.88E-05	0.000446679	9.44E-05	-4.025188465	0.338986167	0.255039023	3.66E-15	0.190216641	0.720751491	-0.105238499
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	4.01E-07	2.37E-10	3.95E-07	-6.403596597	0.356500596	0.36223089	7.79E-06	0.181566197	0.740965003	-0.155192444
